"Accession","Gene","Protein","Min_1","Min_2","Rich_1","Rich_2"
"P53894","YNL161W","CBK1",2.2142577661752e-05,2.07634147142206e-05,2.4843774022834e-05,2.49652680110386e-05
"P53898","YNL156C","NSG2",5.7004378992796e-06,5.34082090156035e-06,5.81304945252444e-06,6.67077510536273e-06
"P53899","YNL155W","CUZ1",1.05215290152605e-05,1.04359120121501e-05,1.18168213793296e-05,1.19297601404414e-05
"P53900","YNL153C","GIM3",1.49489678781524e-05,1.23542242128455e-05,1.55779154205226e-05,1.43695462415917e-05
"P53903","YNL149C","PGA2",5.53681301533411e-05,5.8494895685562e-05,5.93586297881213e-05,5.81360327428143e-05
"P53904","YNL148C","ALF1",4.07216127363225e-07,5.05559368496095e-07,5.16375139557434e-07,5.33945647028546e-07
"P53905","YNL147W","LSM7",5.17203973214849e-06,4.85364245364343e-06,6.24018422007919e-06,6.1151789857047e-06
"P53909","YNL141W","AAH1",0.000389801751046375,0.000317838356253986,0.000359322404328565,0.000348353771930461
"P53914","YNL132W","KRE33",0.000140980208165524,0.000125285723066844,0.000156315814355001,0.000156581996205458
"P53919","YNL124W","NAF1",3.05303032739679e-05,2.55884478956123e-05,2.90625060831455e-05,2.86787263145868e-05
"P53920","YNL123W","NMA111",7.83358091257453e-05,7.40192729222999e-05,8.86549995116713e-05,8.92465512137668e-05
"P53923","YNL119W","NCS2",7.57175827881926e-06,6.23857576090556e-06,7.90029724072859e-06,7.72660443346171e-06
"P53924","YNL116W","DMA2",5.18522911529807e-06,5.95464533637123e-06,4.63118078397502e-06,4.85070306789693e-06
"P53925","YNL115C","YNL115C",1.11520305949971e-05,1.0599007159757e-05,1.07341164180189e-05,1.10002356043174e-05
"P53927","YNL110C","NOP15",2.82463600785046e-05,3.32276110573077e-05,3.73899864767352e-05,3.72248545209098e-05
"P53929","YNL108C","YNL108C",2.20588772547407e-05,1.87114894733668e-05,2.18500926707665e-05,2.30287683294602e-05
"P53930","YNL107W","YAF9",8.80394339523779e-06,7.67599339078808e-06,1.07034021424543e-05,1.02692750901582e-05
"P53932","YNL095C","YNL095C",2.62348162995527e-06,2.09255334578841e-06,2.18079488365933e-06,2.20044261425751e-06
"P53935","YNL091W","NST1",1.72536561542164e-05,1.51514204040198e-05,1.80187521564405e-05,1.85313354935246e-05
"P53941","YNL075W","IMP4",5.4605629567391e-05,5.84095486876252e-05,6.70120638526274e-05,6.78797266142754e-05
"P53943","YNL065W","AQR1",1.02410592155796e-06,8.07963260791873e-07,1.19688874835931e-06,1.16535395137182e-06
"P53946","YNL059C","ARP5",2.10690339069252e-05,1.9776219190549e-05,2.33248881308695e-05,2.40228647633315e-05
"P53951","YNL051W","COG5",5.72861780707937e-06,4.25718618109718e-06,6.2009573738372e-06,6.14225860810554e-06
"P53953","YNL049C","SFB2",3.54426669913655e-05,3.11561187294367e-05,3.93595069813323e-05,3.84521130630073e-05
"P53954","YNL048W","ALG11",2.08871189750296e-05,1.810821525586e-05,2.00326566361103e-05,2.07243850003817e-05
"P53955","YNL047C","SLM2",1.25431587641476e-05,1.1215394423666e-05,1.24304311539635e-05,1.16713685603755e-05
"P53958","YNL042W","BOP3",1.38553425515616e-07,1.49635961049648e-07,1.3898278963169e-07,1.56984744532584e-07
"P53959","YNL041C","COG6",1.33025629306528e-05,1.22558295490107e-05,1.58866580487402e-05,1.55405574587056e-05
"P53962","YNL035C","YNL035C",2.60548275495777e-05,2.43603701087507e-05,2.69114893456766e-05,2.69737891362892e-05
"P53968","YNL027W","CRZ1",1.36092816991608e-06,1.07162217976856e-06,1.43490754123837e-06,1.34235693389624e-06
"P53969","YNL026W","SAM50",1.08100573989276e-05,1.24249548932037e-05,1.25056701506006e-05,1.29201345804227e-05
"P53972","YNL022C","RCM1",1.10126911942473e-05,1.1347157422837e-05,1.2358953150932e-05,1.30340919188454e-05
"P53973","YNL021W","HDA1",1.23814895948079e-05,1.10648284256865e-05,1.33653758482961e-05,1.37374518627394e-05
"P53978","YNL014W","HEF3",2.05765653337835e-05,1.57832296607798e-05,2.13331922669066e-05,2.10842424716563e-05
"P53981","YNL010W","YNL010W",0.00024075838361175,0.000200500892190934,0.000261713087066176,0.000258318782650006
"P53982","YNL009W","IDP3",3.94491081635902e-06,3.12487725191835e-06,4.50955887744452e-06,4.41522394456922e-06
"P54000","YMR039C","SUB1",3.99779358251865e-05,3.61225313314154e-05,4.5096807506055e-05,4.63166543304443e-05
"P54003","YML052W","SUR7",7.73331782709842e-05,6.92424482438822e-05,6.48326635138005e-05,6.61819424692038e-05
"P54007","YLR460C","YLR460C",3.86252171801163e-06,3.80627660713289e-06,3.78637436534029e-06,3.67867916231024e-06
"P54070","YPL053C","KTR6",1.95104069861395e-05,1.58987787195757e-05,1.8876472366464e-05,1.87594604081913e-05
"P54113","YLR028C","ADE16",9.17905379346224e-05,0.00010163216875489,0.000100195736090941,9.4915349078846e-05
"P54115","YPL061W","ALD6",0.00716672621953628,0.00681579451468535,0.00744088102074659,0.00719364949475974
"P54730","YMR067C","UBX4",4.17792995877557e-05,5.28809976610175e-05,4.90128597728484e-05,5.386771069742e-05
"P54780","YMR121C","RPL15B",2.23891497080699e-05,2.54895943651768e-05,2.17471937349324e-05,2.14238164920252e-05
"P54781","YMR015C","ERG5",8.34769012606307e-05,7.18674905535353e-05,8.83806020537685e-05,8.97836338389847e-05
"P54783","YML086C","ALO1",0.000116121474486106,0.000116160254906905,0.000127069574236215,0.000125716275560883
"P54784","YML065W","ORC1",1.28295931363757e-05,1.19517045526508e-05,1.47531502651104e-05,1.49685829603119e-05
"P54787","YML097C","VPS9",9.20199848732522e-06,7.41702015893528e-06,9.64715628816048e-06,9.54104463845457e-06
"P54791","YPR162C","ORC4",1.02771231801922e-05,8.10654050860801e-06,1.11478153453181e-05,1.09261439045928e-05
"P54837","YML012W","ERV25",1.02865732883282e-05,8.80439878662005e-06,1.21173576477677e-05,1.27870060008875e-05
"P54838","YML070W","DAK1",0.000702877678970421,0.000568524316945142,0.000811664979778177,0.000810442112020224
"P54839","YML126C","ERG13",0.00121366520554652,0.00102927259597995,0.00160096721139791,0.00156426907050096
"P54860","YDL190C","UFD2",2.98379609348596e-05,2.39008531751737e-05,3.21505701581757e-05,3.24008432737851e-05
"P54861","YLL001W","DNM1",7.5817545796944e-05,6.92332544210758e-05,8.31184190994378e-05,8.35144703422177e-05
"P54885","YOR323C","PRO2",0.000196379184605699,0.000165520289727217,0.000195881906613296,0.000173684592548397
"P54964","YLR059C","REX2",1.570417814418e-05,1.33255716195224e-05,1.93345131532288e-05,1.90022256886632e-05
"P56628","YFL034C-A","RPL22B",3.06931380641221e-06,2.69354397099474e-06,3.17765764146896e-06,3.24923208802351e-06
"P57743","YLR438C-A","LSM3",2.49904924371242e-06,2.44289845663953e-06,2.89649299955119e-06,2.2282290564403e-06
"P60010","YFL039C","ACT1",0.00283633184162101,0.00296520332750044,0.00328050298511686,0.00322150624474153
"P61830","YBR010W","HHT1",0.00104342640512028,0.00106663185459422,0.000902205460253377,0.000943903151373966
"P69771","YKR035W-A","DID2",2.09002319832067e-05,2.19976718856257e-05,2.58147226422572e-05,2.63475557636945e-05
"P80210","YNL220W","ADE12",0.00150061619667509,0.00134853810060931,0.00116564824274416,0.00117792628109347
"P80235","YAR035W","YAT1",0.00022955110433432,0.000232983369046945,0.000293513566249698,0.00029856172350074
"P80428","YJL081C","ARP4",2.31486014167852e-05,1.82337859528463e-05,2.44933201646758e-05,2.32120242708911e-05
"P80667","YLR191W","PEX13",2.09945766335876e-05,1.8423977281193e-05,2.11392172721798e-05,2.09126848032361e-05
"P80967","YPR133W-A","TOM5",1.92855424511791e-05,1.56636985827655e-05,2.38556517450935e-05,2.43305536886095e-05
"P81450","YML081C-A","ATP18",0.000272594332826862,0.000280829110798248,0.000322525591148082,0.000325441213610682
"P87108","YHR005C-A","TIM10",2.57721175615498e-05,2.86200359225716e-05,2.95410781815677e-05,2.6239741655929e-05
"P89102","YDR166C","SEC5",2.13758652190178e-05,1.83209002993967e-05,2.36206177849492e-05,2.44193525397831e-05
"P89105","YOL145C","CTR9",0.000102816989667435,8.35629026290619e-05,0.000111578491730976,0.000113421809208313
"P89886","YER007C-A","TMA20",6.6468607274793e-05,7.7084635288228e-05,7.23642644459957e-05,7.7764390238823e-05
"Q00055","YDL022W","GPD1",0.000542058930797033,0.00055164445712952,0.000664936974314301,0.000642557968669694
"Q00245","YIL118W","RHO3",6.30711843865105e-05,5.99311192302975e-05,5.4829603888015e-05,5.55170565300611e-05
"Q00362","YGL190C","CDC55",1.88824524550795e-05,2.18157250042543e-05,1.8365896750644e-05,1.82423422376941e-05
"Q00402","YDR150W","NUM1",3.88996175450377e-05,3.4138463454476e-05,4.58322943195075e-05,4.36875815756437e-05
"Q00416","YLR430W","SEN1",2.44002060889717e-05,2.27649250772222e-05,2.95095053713462e-05,2.80834284375429e-05
"Q00578","YIL143C","SSL2",6.78464209504401e-06,6.30219264664159e-06,7.76299183159395e-06,7.44327133019565e-06
"Q00582","YML121W","GTR1",2.46303218118954e-06,2.12860441653216e-06,1.84549319335858e-06,1.78506750008706e-06
"Q00618","YJL031C","BET4",1.24750186359374e-05,1.06523433152424e-05,1.32364732042473e-05,1.31629435986185e-05
"Q00684","YFR028C","CDC14",2.22588119450409e-05,2.39315780179422e-05,2.39208341879486e-05,2.43902495041404e-05
"Q00711","YKL148C","SDH1",5.31195390336807e-05,8.83328910624869e-05,7.71082074678465e-05,9.02088707706062e-05
"Q00764","YBR126C","TPS1",0.000108607643068969,0.000104809390242707,0.000113098917720114,0.000117334850217075
"Q00772","YHR030C","SLT2",5.27130534097908e-06,5.72754858129519e-06,6.23538796604764e-06,5.62977240020028e-06
"Q00776","YPL259C","APM1",5.12220136114314e-06,6.56742977827676e-06,6.33129783072778e-06,6.28943203937113e-06
"Q00816","YDR028C","REG1",8.92214513880434e-06,8.7700874368503e-06,1.02334036723897e-05,9.65244002519957e-06
"Q00873","YKL087C","CYT2",1.37249007181527e-05,1.19680161986857e-05,1.57835197181792e-05,1.55771251256225e-05
"Q00955","YNR016C","ACC1",0.00329363906419749,0.00316583632419097,0.00419789739477459,0.00418460589744243
"Q01080","YNL248C","RPA49",5.33368032213811e-05,5.07818967371435e-05,6.34779824397968e-05,6.42607128872341e-05
"Q01159","YGL130W","CEG1",1.98567002065143e-05,2.13377511103201e-05,2.10617056339281e-05,2.07923343537666e-05
"Q01163","YGL129C","RSM23",9.08513389730612e-05,8.33692484313887e-05,0.000110778869286737,0.000116760113153925
"Q01217","YER069W","ARG5,6",0.000876974318383665,0.000930858257913332,0.000189249073539276,0.00020048252371605
"Q01329","YAL043C","PTA1",3.57776151004563e-05,2.90171946505134e-05,3.83311209571616e-05,3.61717774288476e-05
"Q01389","YJL095W","BCK1",8.83931571043633e-07,7.08175817420064e-07,1.03955926369432e-06,9.14380560548439e-07
"Q01454","YPR135W","CTF4",1.41836446889564e-05,1.37652357579246e-05,1.57420245534963e-05,1.46119945676338e-05
"Q01476","YOR124C","UBP2",4.00205884662177e-05,3.86408688662276e-05,5.17772512625383e-05,5.11002694677996e-05
"Q01477","YER151C","UBP3",2.04526695547092e-05,1.78766647399149e-05,2.16859152906712e-05,2.24277999845413e-05
"Q01519","YLR038C","COX12",4.54117536697402e-05,6.04753203189261e-05,5.22286085128978e-05,5.51177868831687e-05
"Q01532","YNL239W","LAP3",0.00023601789249137,0.00020712927396528,0.000234952656904163,0.000236237575379698
"Q01560","YDR432W","NPL3",0.000111177280398772,0.000145139115210381,0.00015364259492295,0.000150632441090879
"Q01574","YAL054C","ACS1",5.91160731079551e-05,5.79412771098377e-05,8.42545841804371e-05,8.34880751356029e-05
"Q01590","YLR026C","SED5",1.31091963386524e-05,1.04446167493444e-05,1.36799549243732e-05,1.29647453722105e-05
"Q01662","YLR244C","MAP1",0.000108789066463847,0.000129224323147992,0.000149463199067481,0.000147198137244995
"Q01722","YNL199C","GCR2",3.71676700315792e-06,2.79487952064359e-06,3.86588844568931e-06,3.72817895786062e-06
"Q01802","YKL106W","AAT1",5.02477055410924e-05,4.87393971850545e-05,4.70389596562159e-05,4.70524133101922e-05
"Q01846","YML104C","MDM1",1.43924265366247e-06,8.35847637277217e-07,1.54174914001119e-06,1.42795379354688e-06
"Q01852","YIL022W","TIM44",0.000240008301473064,0.000296096834050959,0.000313179147146707,0.000356924850723676
"Q01855","YOL040C","RPS15",0.00636981576611806,0.00691832806175984,0.00722960346335429,0.00759610188363863
"Q01919","YOR233W","KIN4",5.72639329199488e-06,6.7050584871905e-06,7.26832633003169e-06,7.25247566790812e-06
"Q01939","YGL048C","RPT6",0.000358426146572228,0.000369118381348404,0.000428805067884445,0.000443443823280103
"Q02046","YKR080W","MTD1",0.000211432331237422,0.000171258512123482,0.000224351118687396,0.000234971405250427
"Q02159","YMR022W","UBC7",2.61085412208895e-05,3.16035091267426e-05,3.1905256980275e-05,2.82627366149775e-05
"Q02196","YKL001C","MET14",0.000261665818124047,0.000255573839221813,5.45843975263953e-06,1.02015806770879e-05
"Q02197","YEL053C","MAK10",4.86621448876259e-05,4.60438607643292e-05,5.22582474169768e-05,5.41616182180813e-05
"Q02199","YGL172W","NUP49",9.71012874100101e-06,7.59770104749289e-06,1.04248206226703e-05,9.50818502977815e-06
"Q02201","YKR003W","OSH6",3.90002022711577e-06,4.49072890574644e-06,4.19163985386086e-06,4.71778480676808e-06
"Q02204","YKR006C","MRPL13",2.63880433284671e-06,3.31206618646138e-06,3.42717072812313e-06,3.75998130053968e-06
"Q02205","YKR007W","MEH1",3.28634375973859e-06,3.29939690304818e-06,3.1094623411262e-06,2.39476412661427e-06
"Q02206","YKR008W","RSC4",3.17096850320506e-06,2.43026589344242e-06,3.42247090203163e-06,3.44454961040062e-06
"Q02207","YKR009C","FOX2",4.97905652983588e-05,5.32723470343418e-05,6.43912353607218e-05,6.56098318043221e-05
"Q02209","YKR011C","YKR011C",5.89321456911771e-07,4.96407574644593e-07,7.50101371535721e-07,7.31400381575089e-07
"Q02256","YIR026C","YVH1",4.8923041282747e-06,4.33037433487693e-06,5.94352201532479e-06,5.42786049648727e-06
"Q02260","YGR074W","SMD1",3.04206466078931e-05,2.88756942876743e-05,3.21688507906968e-05,3.2224652520079e-05
"Q02326","YML073C","RPL6A",0.000565140858531102,0.000569308262426476,0.000590075859122995,0.000583177522024201
"Q02336","YDR448W","ADA2",2.96370029074568e-06,2.82354637429891e-06,2.37866629714473e-06,2.11371885146775e-06
"Q02354","YDR449C","UTP6",7.22284741074164e-05,6.67645543216604e-05,7.99148157683189e-05,8.07625450654709e-05
"Q02455","YKR095W","MLP1",4.39933743933204e-05,3.38547897795718e-05,4.92197840025931e-05,4.71157698445922e-05
"Q02457","YPL128C","TBF1",5.3655353356576e-05,4.42892090771353e-05,5.38924964367756e-05,5.57915477407131e-05
"Q02486","YMR072W","ABF2",0.000400301437907068,0.000381553855122436,0.000425584877650466,0.000415158117440573
"Q02516","YOR358W","HAP5",4.47516761079639e-06,3.84619151117833e-06,4.06300280778842e-06,4.1712507707564e-06
"Q02554","YMR240C","CUS1",2.33655321369842e-06,2.50020566037773e-06,2.63630355608163e-06,3.00100235466932e-06
"Q02555","YMR239C","RNT1",8.04406593162985e-06,7.54474614098862e-06,9.11520011006908e-06,9.08213498444828e-06
"Q02608","YPL013C","MRPS16",4.62719744750571e-05,5.08429826596332e-05,5.36936192960903e-05,5.4750126195862e-05
"Q02629","YKL068W","NUP100",1.39036536699802e-06,1.64757857956618e-06,1.62275828594734e-06,1.57531800528517e-06
"Q02642","YPL037C","EGD1",0.000402786593680423,0.000495563572191231,0.000468468653051706,0.000465235435580635
"Q02647","YDR424C","DYN2",1.9258677139738e-05,1.91499091564251e-05,2.09850730940091e-05,2.12457052281303e-05
"Q02648","YPL030W","TRM44",1.19180331371566e-05,1.20466404520471e-05,1.37450601492112e-05,1.39358935627499e-05
"Q02685","YPL024W","RMI1",2.89135651331715e-06,3.37931492213775e-06,3.11810625997727e-06,5.32376136550553e-06
"Q02724","YPL020C","ULP1",4.74509733495188e-06,4.83756419179284e-06,5.51237876615499e-06,5.16845773973983e-06
"Q02725","YPL019C","VTC3",1.12971722339884e-05,1.05320020812023e-05,1.3373228788763e-05,1.37005057527273e-05
"Q02753","YBR191W","RPL21A",1.99479866828237e-05,2.28380647863018e-05,1.85130122173068e-05,1.77653036871299e-05
"Q02754","YPL067C","YPL067C",6.40388984991612e-06,5.46755285917235e-06,7.27124860025486e-06,7.03446690153332e-06
"Q02767","YPL065W","VPS28",4.78401393621816e-06,4.35845324127533e-06,4.88949729083774e-06,4.95711676572904e-06
"Q02770","YPL064C","CWC27",1.36880325621139e-06,1.19042855675541e-06,1.54368873948883e-06,1.38034507433917e-06
"Q02772","YJR034W","PET191",1.35685242249938e-05,1.13487708940363e-05,1.35334755364247e-05,1.25114692365115e-05
"Q02773","YML091C","RPM2",3.60797387305094e-05,3.02006866658693e-05,4.4574959622509e-05,4.30799116383395e-05
"Q02774","YDL212W","SHR3",5.20638377456945e-05,4.39333047953487e-05,4.82734099067638e-05,5.0892121419997e-05
"Q02776","YPL063W","TIM50",7.18580087460452e-05,6.68990972302054e-05,7.76224159174081e-05,7.8725384331918e-05
"Q02784","YPL059W","GRX5",3.54492578230908e-05,3.1081999586637e-05,3.79524603785011e-05,3.50904156666141e-05
"Q02785","YPL058C","PDR12",7.33049722637882e-05,6.02338931541201e-05,0.000138946040073466,0.000137672340648711
"Q02792","YOR048C","RAT1",1.4294464412642e-05,1.524401202239e-05,1.68549459495541e-05,1.67508534261447e-05
"Q02793","YGL213C","SKI8",2.50820400733656e-06,3.1741849757767e-06,2.87372875816478e-06,2.92516976458144e-06
"Q02795","YMR149W","SWP1",6.1601169933133e-05,7.61668072258378e-05,7.24773640332005e-05,7.74690720130332e-05
"Q02804","YPL051W","ARL3",2.95110491500727e-06,2.47469078469625e-06,3.2318303393169e-06,3.336410138553e-06
"Q02805","YOR018W","ROD1",7.89481976000279e-07,8.38342344127989e-07,8.70845276271507e-07,9.24017977797627e-07
"Q02821","YNL189W","SRP1",0.000213088423656084,0.000240789650194353,0.000247372579152518,0.000231581578451425
"Q02863","YPL072W","UBP16",3.39976759399987e-06,3.1955833628581e-06,3.05482396223553e-06,3.24822143815975e-06
"Q02866","YPL070W","MUK1",3.09424256539289e-06,2.92265044525831e-06,3.46417686982973e-06,3.34903432558388e-06
"Q02875","YPL105C","SYH1",1.25566395518717e-05,1.25845627491793e-05,1.40700195620676e-05,1.40925136143391e-05
"Q02883","YPL103C","FMP30",1.88970276474022e-06,1.65260670321535e-06,1.99563996185784e-06,1.84521143730002e-06
"Q02884","YPL101W","ELP4",2.38480240295328e-05,2.67979687060209e-05,2.36367607126673e-05,2.35622718699192e-05
"Q02887","YPL100W","ATG21",2.2833601228118e-06,2.96814799951352e-06,2.41436658008698e-06,2.33129790887643e-06
"Q02890","YPL096W","PNG1",6.22764581050369e-06,7.00433646627384e-06,6.93649002859074e-06,7.30365677912444e-06
"Q02892","YPL093W","NOG1",0.000286776765465548,0.000272673512100202,0.000323776856491298,0.000330027541478455
"Q02908","YPL086C","ELP3",2.6175937000786e-05,3.06463998350315e-05,3.31399339889512e-05,3.37773673405729e-05
"Q02931","YPL126W","NAN1",7.17714907437763e-05,8.89090577201945e-05,8.58222510935616e-05,9.47653509744185e-05
"Q02932","YPL125W","KAP120",2.44470433522093e-05,1.94006964231575e-05,2.58748328098832e-05,2.52555448359687e-05
"Q02939","YPL122C","TFB2",1.04907054252845e-05,1.08891599909245e-05,1.31897254264358e-05,1.298024086208e-05
"Q02950","YPL118W","MRP51",2.08011791296911e-05,1.75492029606515e-05,2.42229330016381e-05,2.44252631289148e-05
"Q02959","YPL116W","HOS3",2.0941691398854e-05,2.14363248863768e-05,2.28442933722053e-05,2.35099855622323e-05
"Q02969","YPL112C","PEX25",1.97765987721182e-05,1.57579851057258e-05,1.61721552706661e-05,1.60347233333583e-05
"Q02979","YPL110C","GDE1",1.20873464701125e-05,1.14293764999904e-05,1.49342233309796e-05,1.51360440441644e-05
"Q02981","YPL109C","YPL109C",8.72296847814554e-06,9.65248576357412e-06,1.09739431478426e-05,8.7743229222912e-06
"Q03010","YPL139C","UME1",1.94699328454361e-06,2.30636082020875e-06,2.05182266859056e-06,2.13369305722292e-06
"Q03012","YPL138C","SPP1",2.67399571321006e-06,2.41371345332117e-06,2.87944578986299e-06,2.89605781988198e-06
"Q03016","YPL137C","GIP3",1.36484981626937e-05,1.12811404357794e-05,1.44784143718337e-05,1.45551860245716e-05
"Q03028","YPL134C","ODC1",3.38318603317392e-05,3.08790570711817e-05,4.81756307340041e-05,4.87843404696057e-05
"Q03048","YLL050C","COF1",1.69334877404172e-05,2.320177833127e-05,2.05994734491946e-05,1.89324861430965e-05
"Q03063","YPL049C","DIG1",2.23541093169097e-07,2.71622297436609e-07,2.38361234958833e-07,2.32468673642436e-07
"Q03088","YPL032C","SVL3",1.21574961609968e-05,9.57345924578579e-06,1.23853226938905e-05,1.29519952595379e-05
"Q03102","YML131W","YML131W",3.65087889538278e-05,3.69854773752555e-05,4.37028076953715e-05,4.37153071736087e-05
"Q03103","YML130C","ERO1",6.17796883331163e-05,4.79174688865235e-05,6.80632666269664e-05,6.62518232985549e-05
"Q03104","YML128C","MSC1",2.53318931642359e-05,2.12057051821728e-05,2.24942054884695e-05,2.20449299300074e-05
"Q03124","YML127W","RSC9",5.73440949596349e-05,5.02087864920733e-05,5.73728762117821e-05,5.69115390851078e-05
"Q03148","YMR096W","SNZ1",4.95620775849779e-07,3.7795575792503e-07,2.65951046827222e-07,2.08293568324382e-07
"Q03153","YMR098C","ATP25",5.58873879804246e-06,5.22569349765036e-06,6.71851921818628e-06,6.84207772507641e-06
"Q03161","YMR099C","YMR099C",4.42488092392759e-05,5.51904877372748e-05,6.57032436204811e-05,6.48006985168939e-05
"Q03162","YMR100W","MUB1",2.11326569376013e-06,1.7763190817487e-06,2.04292783017499e-06,2.04113871264206e-06
"Q03177","YMR102C","YMR102C",3.39514638561396e-06,4.2108329101825e-06,4.58643413490135e-06,4.9638377156683e-06
"Q03195","YDR091C","RLI1",0.000854732872727632,0.000830242636471562,0.00104255478593277,0.0010943095288566
"Q03201","YDR041W","RSM10",3.9457781283232e-06,3.55427333795024e-06,4.84479220979123e-06,4.8065300993844e-06
"Q03214","YMR176W","ECM5",1.39814499763316e-06,1.07791666959282e-06,2.00985463301334e-06,1.2029246434028e-06
"Q03219","YMR178W","YMR178W",1.53137064319605e-05,1.30376712118838e-05,1.49460194688225e-05,1.44453650204697e-05
"Q03233","YMR184W","ADD37",5.65846059147452e-06,5.56381720885834e-06,7.62710845233191e-06,7.75569232430755e-06
"Q03246","YMR188C","MRPS17",4.6061376060425e-05,4.02595184914963e-05,6.03249176266603e-05,5.91067172726983e-05
"Q03254","YMR277W","FCP1",3.4170646708119e-05,2.6281169423412e-05,4.10302257090696e-05,3.19215250665083e-05
"Q03262","YMR278W","PRM15",1.01085672175543e-05,8.4998934402129e-06,1.1345340789856e-05,1.16871751711676e-05
"Q03264","YMR285C","NGL2",1.4407804317921e-05,1.72116487887276e-05,1.58549346172587e-05,1.56654384466762e-05
"Q03266","YMR289W","ABZ2",7.56974220926912e-06,5.66998370559816e-06,8.00175010429582e-06,7.71333510738953e-06
"Q03280","YDR457W","TOM1",0.000106633782249696,9.23876930573235e-05,0.00011384074694842,0.000111520552370562
"Q03281","YDR458C","HEH2",9.41196471477981e-06,8.47073126081799e-06,9.901654420934e-06,9.36606299434291e-06
"Q03290","YDR460W","TFB3",7.35968532985085e-06,6.21000381071129e-06,8.83911990781705e-06,9.19727599746503e-06
"Q03305","YDR465C","RMT2",5.93326303863661e-06,4.58319309147159e-06,6.5811637019745e-06,6.25422251051656e-06
"Q03308","YPL045W","VPS16",3.03069189568272e-06,4.1961943063456e-06,1.01430269436911e-05,7.44340087336549e-06
"Q03327","YDR470C","UGO1",6.05122888238879e-06,5.36879654226729e-06,6.92681665950726e-06,6.99365394609081e-06
"Q03330","YGR252W","GCN5",5.22682912085001e-06,5.92377793632321e-06,5.81831541205188e-06,5.7304413671677e-06
"Q03337","YDR472W","TRS31",1.58757599843844e-05,1.30798816094517e-05,1.57079323749325e-05,1.6333050665262e-05
"Q03338","YDR473C","PRP3",1.2988460960618e-06,1.15557966815314e-06,1.04562804407536e-06,1.05428783332434e-06
"Q03361","YDR475C","JIP4",1.70381800587334e-06,1.91703168844973e-06,1.60303792707717e-06,1.62411279581363e-06
"Q03362","YDR476C","YDR476C",2.72100989006957e-05,2.68964191038045e-05,2.79385987786478e-05,2.99613081546246e-05
"Q03407","YDR490C","PKH1",5.21591662665706e-06,4.8344572101005e-06,6.4758981427514e-06,5.99044873954499e-06
"Q03429","YDR493W","MZM1",1.91029299442975e-05,2.43760496014929e-05,2.37589995799322e-05,2.3486776601741e-05
"Q03430","YDR494W","RSM28",6.52345573734465e-06,8.42404214758506e-06,8.12247168469631e-06,8.16649605638225e-06
"Q03435","YDL002C","NHP10",1.30774038357185e-06,1.50437498973732e-06,1.46850636033282e-06,1.31307686410434e-06
"Q03441","YDL001W","RMD1",1.38507641666597e-06,1.36835400303864e-06,1.51176911002698e-06,1.52232958073767e-06
"Q03455","YDR205W","MSC2",1.69452324086305e-05,1.24646203354498e-05,1.60858660416257e-05,1.5166612222605e-05
"Q03466","YDR206W","EBS1",1.53769720049851e-05,1.16266458141188e-05,1.50492861393317e-05,1.51815245948416e-05
"Q03496","YMR259C","TRM732",4.39110863352923e-05,3.50468832207209e-05,5.07996394589078e-05,5.08141687082023e-05
"Q03497","YHL007C","STE20",7.57216308458172e-06,8.01508098122784e-06,8.30165285261787e-06,8.76696949940516e-06
"Q03503","YPR051W","MAK3",1.03752512135111e-05,1.11468618562762e-05,1.04339589105142e-05,1.0049240939485e-05
"Q03508","YMR265C","YMR265C",1.71380967010246e-06,1.34462059093389e-06,1.83104432818263e-06,1.83455590283502e-06
"Q03516","YMR266W","RSN1",0.000184094958212712,0.000162694227050694,0.000216485970659292,0.000218685414609999
"Q03532","YMR290C","HAS1",0.000270803101080069,0.000274405608223975,0.000313920663805715,0.000316448417850102
"Q03558","YHR179W","OYE2",0.000209344761082637,0.000207979178284201,0.000255342566420798,0.000241070883445762
"Q03629","YML079W","YML079W",1.26793905551377e-05,9.9624443771861e-06,1.34111685551436e-05,1.34150042951871e-05
"Q03631","YML076C","WAR1",2.88627030332864e-06,2.50695628209241e-06,2.39741031989036e-06,2.47685121074091e-06
"Q03640","YML072C","TCB3",5.71576268974021e-05,6.00407570019162e-05,6.28677868904309e-05,6.36655735615269e-05
"Q03648","YMR209C","YMR209C",1.14168017155058e-06,9.4861302560834e-07,1.27679080271861e-06,1.2853279091667e-06
"Q03652","YMR211W","DML1",2.31713423268599e-06,2.29372800455436e-06,2.35918247969493e-06,2.45544241820774e-06
"Q03653","YMR212C","EFR3",1.86374524628289e-05,2.09413060084825e-05,2.15827307152608e-05,2.33575274003285e-05
"Q03654","YMR213W","CEF1",3.44774522598152e-07,4.50705161160381e-07,4.87752696011166e-07,6.37448935643404e-07
"Q03655","YMR215W","GAS3",0.000119934557809594,0.00010134007719545,9.2700863463794e-05,9.88338139354032e-05
"Q03656","YMR216C","SKY1",3.83315465989634e-06,3.2268146309064e-06,3.98799244114618e-06,4.08221282152574e-06
"Q03660","YMR218C","TRS130",8.9144997777934e-06,9.00702873135412e-06,1.00875274992545e-05,9.97028868179227e-06
"Q03674","YMR006C","PLB2",5.40513112080524e-06,3.80922569743261e-06,5.93950553830839e-06,5.17171097327641e-06
"Q03677","YMR009W","ADI1",1.2031568060575e-05,1.53463628763644e-05,8.64995897074066e-06,8.70268909800387e-06
